tax_name	tax_rank	taxa_full_id
Aestuariibacter sp. PX-1	species	986148
Aestuariimicrobium kwangyangense	species	396389
Afipia clevelandensis	species	1034
Afipia massiliensis	species	211460
Afipia sp. 3AS3	species	692997
Afipia sp. BAC308	species	471584
Afipia sp. D1	species	882658
Afipia sp. KC-IT-F4	species	619776
Agaricicola taiwanensis	species	591372
Agarivorans albus	species	182262
Agarivorans sp. HJ6	species	679241
Aggregatibacter actinomycetemcomitans	species	714
Aggregatibacter aphrophilus	species	732
Aggregatibacter segnis	species	739
Aggregatibacter sp. HS19_2W_I12	species	1283310
Agrococcus casei	species	343512
Agrococcus jejuensis	species	399736
Agrococcus jenensis	species	46353
Agrococcus sp. 1038/2	species	472584
Agrococcus sp. 399C1-1	species	857397
Agrococcus sp. B-G-TSA5	species	926643
Agrococcus sp. BA22(2011)	species	942131
Agrococcus sp. LH-CAB4	species	948615
Agrococcus sp. m8-25	species	861290
Agrococcus sp. RHLT2-16	species	1258837
Agrococcus sp. SS14.8	species	1276940
Agromyces allii	species	393607
Agromyces atrinae	species	592376
Agromyces cerinus	species	33878
Agromyces humatus	species	279573
Agromyces iriomotensis	species	717856
Agromyces lapidis	species	279574
Agromyces marinus	species	1389020
Agromyces mediolanus	species	41986
Agromyces neolithicus	species	269420
Agromyces ramosus	species	33879
Agromyces salentinus	species	269421
Agromyces sp. 1026	species	1241640
Agromyces sp. BJS1	species	408568
Agromyces sp. IY07-34	species	717857
Agromyces sp. PR10-12	species	471730
Agromyces sp. QDZ-A	species	948272
Agromyces sp. R	species	382693
Agromyces sp. TA_AM	species	1472785
Agromyces sp. Y14	species	418728
Agromyces subbeticus	species	293890
Agromyces subtropicus	species	717859
Agromyces ulmi	species	248902
Akkermansia muciniphila	species	239935
Albidiferax sp. MDB1-52	species	1258839
Albidiferax sp. MDB1-53-2	species	1258840
Albidovulum inexpectatum	species	196587
Albimonas pacifica	species	1114924
Alcaligenes faecalis	species	511
Alcaligenes sp. D16	species	1298807
Alcaligenes sp. SRM 02	species	994431
Alcaligenes sp. x-1	species	996985
Alcanivorax dieselolei	species	285091
Alcanivorax indicus	species	447218
Alcanivorax sp. K2-1	species	84483
Alcanivorax sp. KJ6-1-2	species	445916
Alcanivorax sp. M81SB	species	934752
Alcanivorax sp. Qphe 4	species	998204
Alcanivorax sp. RHS-str.303	species	1082821
Alcanivorax sp. Shm-2	species	84488
Alcanivorax sp. TE-9	species	84492
Alcanivorax sp. TVGB17	species	653464
Alcanivorax sp. Wf-1	species	84500
Algibacter aestuarii	species	912802
Algibacter agarilyticus	species	1109739
Algibacter lectus	species	221126
Algibacter mikhailovii	species	425498
Algibacter miyuki	species	1306933
Algibacter pectinivorans	species	870482
Algibacter sp. CMS186	species	940545
Algibacter sp. GY6	species	1332648
Algibacter sp. J13-26	species	759853
Algibacter sp. JC2675	species	858595
Algibacter sp. MAR448	species	934148
Algibacter sp. MGE_SAT_542	species	1250246
Algibacter sp. XH116	species	1165259
Algicola bacteriolytica	species	71383
Algimonas arctica	species	1479486
Algoriphagus alkaliphilus	species	279824
Algoriphagus boritolerans	species	308111
Algoriphagus hitonicola	species	435880
Algoriphagus jejuensis	species	419934
Algoriphagus locisalis	species	305507
Algoriphagus sp. AB267d	species	983713
Algoriphagus sp. CNU007	species	419933
Algoriphagus sp. D4042	species	382299
Algoriphagus sp. M45	species	1294551
Algoriphagus sp. NBRC 101323	species	1113756
Algoriphagus sp. ZS1-2	species	641651
Algoriphagus sp. ZS4-16	species	564090
Algoriphagus taeanensis	species	649201
Algoriphagus terrigena	species	344884
Algoriphagus trabzonensis	species	993690
Alicycliphilus denitrificans	species	179636
Alicycliphilus sp. A8	species	366928
Alicyclobacillus acidiphilus	species	182455
Alicyclobacillus acidoterrestris	species	1450
Alicyclobacillus contaminans	species	392016
Alicyclobacillus cycloheptanicus	species	1457
Alicyclobacillus fastidiosus	species	392011
Alicyclobacillus herbarius	species	122960
Alicyclobacillus kakegawensis	species	392012
Alicyclobacillus pomorum	species	204470
Alicyclobacillus sacchari	species	392010
Alicyclobacillus shizuokensis	species	392014
Alicyclobacillus sp.	species	61169
Alicyclobacillus sp. A-1	species	984759
Alicyclobacillus sp. CPP55	species	1401521
Alicyclobacillus sp. XC-6	species	1450315
Aliidiomarina maris	species	531312
Aliidiomarina taiwanensis	species	946228
Aliihoeflea aestuarii	species	453840
Aliihoeflea sp. S9	species	1202959
Aliiroseovarius sediminilitoris	species	1173584
Aliivibrio wodanis	species	80852
Alishewanella jeotgali	species	545533
Alishewanella sp. A2-4	species	887862
Alishewanella sp. Mn5-6	species	948076
Alistipes finegoldii	species	214856
Alistipes indistinctus	species	626932
Alistipes inops	species	1501391
Alistipes massiliensis	species	265312
Alistipes onderdonkii	species	328813
Alistipes putredinis	species	28117
Alistipes shahii	species	328814
Alistipes sp. DJF_B185	species	537273
Alistipes sp. EBA6-25cl2	species	447027
Alistipes sp. HGB5	species	908612
Alistipes sp. NML05A004	species	478202
Alistipes sp. RMA 9912	species	650643
Alkalibacillus sp. R327	species	861112
Alkalibacterium gilvum	species	1130080
Alkalibacterium olivapovliticus	species	99907
Alkalibacterium sp. I-5	species	668581
Alkalibaculum bacchi	species	645887
Alkaliphilus halophilus	species	522397
Alkaliphilus oremlandii	species	461876
Alkaliphilus peptidifermentans	species	426129
Alkaliphilus sp. Iso-W1	species	393730
Alkanindiges hongkongensis	species	208968
Alkanindiges illinoisensis	species	197183
Alkanindiges sp. JJ005	species	1096282
Allisonella histaminiformans	species	209880
Alloactinosynnema sp. FMA_295	species	1243033
Allobaculum stercoricanis	species	174709
Allocatelliglobosispora scoriae	species	643052
Allochromatium sp. MTCH3IM086	species	626316
Allofrancisella inopinata	species	1085647
Allofustis seminis	species	166939
Allohahella marinimesophila	species	1054972
Alloiococcus otitis	species	1652
Allokutzneria sp. NRRL B-24872	species	1137961
Alloprevotella rava	species	671218
Alloprevotella tannerae	species	76122
Alloscardovia omnicolens	species	419015
Allostreptomyces indica	species	665083
Alsobacter metallidurans	species	340221
Altererythrobacter aestuarii	species	650004
Altererythrobacter atlanticus	species	1267766
Altererythrobacter dongtanensis	species	692370
Altererythrobacter epoxidivorans	species	361183
Altererythrobacter gangjinensis	species	1028742
Altererythrobacter marensis	species	543877
Altererythrobacter marinus	species	538382
Altererythrobacter sp. AMV9	species	650067
Altererythrobacter sp. CJ46	species	1255250
Altererythrobacter sp. g89	species	1159345
Altererythrobacter sp. HME9320	species	1463387
Altererythrobacter sp. MMH1-3	species	1331327
Altererythrobacter sp. Z0-YC6821	species	674614
Altererythrobacter troitsensis	species	292222
Altererythrobacter xinjiangensis	species	762261
Alteromonas halophila	species	516698
Alteromonas marina	species	203795
Alteromonas sp. 2tb4	species	650193
Alteromonas sp. A-1	species	1095031
Alteromonas sp. M71_D42	species	592901
Alteromonas sp. PT24a	species	932816
Alteromonas sp. SHN3	species	1365508
Alteromonas sp. UDC359	species	751967
Alteromonas sp. USC168	species	930076
Alteromonas sp. UST981101-018	species	556721
Alysiella crassa	species	153491
Alysiella filiformis	species	194196
Amantichitinum ursilacus	species	857265
Amaricoccus kaplicensis	species	57000
Amaricoccus macauensis	species	57001
Amaricoccus sp. WTFO1-3	species	1046558
Ameyamaea chiangmaiensis	species	442969
Aminiphilus circumscriptus	species	290732
Aminivibrio pyruvatiphilus	species	1005740
Aminobacter sp. C6g	species	748842
Aminobacter sp. LC355	species	1114527
Aminobacter sp. LS5	species	1267779
Aminobacter sp. RE 54	species	936201
Aminobacter sp. TW23	species	325226
Aminobacterium sp. S12-27-1-3-5	species	1367463
Aminobacterium thunnarium	species	1482737
Ammoniphilus oxalaticus	species	66863
Ammoniphilus oxalivorans	species	66864
Amnibacterium kyonggiense	species	595671
Amnibacterium soli	species	1282736
Amnibacterium sp. IMCC12819	species	1029632
Amnibacterium sp. MN4-4	species	1150481
Amnibacterium sp. SC-16	species	1384618
Amnibacterium sp. VN08A0400	species	1167823
Amorphus coralli	species	340680
Amorphus orientalis	species	649198
Amorphus suaedae	species	1327753
Amphibacillus sp. 15R3	species	1231467
Amphibacillus sp. DA-28	species	692731
Amphritea balenae	species	452629
Amphritea japonica	species	452627
Amphritea sp. KMM 6733	species	1265694
Amphritea sp. MA467	species	934248
Amphritea spongicola	species	707589
Amycolatopsis coloradensis	species	76021
Amycolatopsis magusensis	species	882444
Amycolatopsis sp. 14-Be-007	species	744310
Amycolatopsis sp. GY147	species	438565
Amycolatopsis sp. GY156	species	438566
Amycolatopsis sp. GY292	species	438575
Amycolatopsis sp. HaNHS8	species	664186
Amycolatopsis sp. IMER-B3-26	species	624364
Amycolatopsis sp. TD051	species	1308904
Amycolatopsis sp. TD055	species	1308905
Amycolatopsis xylanica	species	589385
Anabaena sp. BIR348	species	462615
Anabaena sp. BIR96	species	462637
Anabaena sp. HKAR-7	species	1458428
Anabaena sp. XSP2A	species	462764
Anabaenopsis circularis	species	109266
Anaerobacillus alkalidiazotrophicus	species	472963
Anaerobacterium chartisolvens	species	1297424
Anaerobiospirillum sp. B0101	species	192114
Anaerobiospirillum succiniciproducens	species	13335
Anaerococcus degeneri	species	361500
Anaerococcus hydrogenalis	species	33029
Anaerococcus lactolyticus	species	33032
Anaerococcus murdochii	species	411577
Anaerococcus octavius	species	54007
Anaerococcus prevotii	species	33034
Anaerococcus provencensis	species	938293
Anaerococcus sp. 8404299	species	938290
Anaerococcus sp. 8405254	species	938291
Anaerococcus sp. 9401487	species	938292
Anaerococcus sp. gpac028	species	361495
Anaerococcus sp. gpac137	species	361503
Anaerococcus sp. gpac155	species	361505
Anaerococcus sp. PH9	species	1118055
Anaerococcus sp. S3PF17	species	1219583
Anaerococcus sp. S8 87-3	species	1330235
